company_name,email,phone_number,fax_number
A&A Action Customs Brokerage,cverduzco@aaacb.net,(310) 625-0751,(310) 370-2327
Advance Customs Brokers & Consulting,,(786) 476-0700,(786) 476-0700
Airport Customs Service,,(310) 410-0717,(310) 410-0717
Alba Wheels Up International,,(310) 410-8030,(310) 410-8030
AG Customs Brokerage,,(650) 589-4090,(650) 589-4090
Agiloc International,,(415) 468-7108,(415) 468-7108
Air Tiger Express USA,,(626) 363-0368,(626) 363-0368
Agility Logistics,,(310) 507-6700,(310) 507-6700
Albatrans,m.varela@albatrans.com,(323) 757-6070,(323) 757-6070
American Cargo Care,,(310) 844-7869,(310) 844-7869
American Commercial Transport,,(310) 352-6402,(310) 352-6402
Alliance International,,(562) 240-2200,(562) 240-2200
American Shipping Company,,(562) 435-2327,(562) 435-2327
American Lamprecht Transport,k.adler@lamprechtusa.com,(310) 645-4736,(310) 645-4736
AMH Customs Consultants,,(949) 644-8000,(949) 644-8000
AN Deringer,jtroisi@anderinger.com,(310) 885-9777,(310) 885-9777
AO Freight Corporation,,(310) 419-8833,(310) 419-8833
"ARC Air Logistics, Inc.",,(310) 549-3778,(310) 549-3778
Aquavian Freight,bruce@aquavian.net,(310) 645-5656,(310) 645-5576
Aries Global Logistics,,(310) 341-2837,(310) 341-2837
Aqua Air Enterprises,,(310) 215-0032,(310) 215-0032
Artemus Transportation Solutions,information@artemus.us,(757) 201-6811,(757) 201-6811
Averitt Express,bramia@averittexpress.com,(901) 355-4787,(901) 355-4787
"Benjamin L. England & Associates, LLC",contact@englandlawgroup.com,4102202800,443-583-1464
Avalon Risk Management,alanouette@avalonrisk.com,(310) 337-7050,(310) 337-7050
Best Customs Service,info@bestcustomsservice.com,310-419-8792,310-419-8774
BGI Worldwide Logistics Inc.,info@bgiworldwide.com,(562) 597-5671,(562) 597-5671
Bruzzone Shipping,,(310) 216-7546,(310) 216-7546
Binex Line Corporation,,(310) 567-1403,(310) 567-1403
C-Air International,eric@cairla.com,(310) 695-3400,(310) 641-0398
C&R Customs Brokers,candrchb@gmail.com,(310) 410-0610,(310) 410-9756
Cal Cartage Customs Exam Station LLC,britni.grivetti@calcartage.com,310-518-3033,310-518-3032
Carmichael International Service,danielm@carmnet.com,(213) 353-0800,(213) 353-0800
Cars USA Shipping,,(310) 695-6403,(310) 695-6403
Cavalier International Air Freight,,(310) 680-2013,(310) 680-5544
CBT International,TC@CBTINT.COM,(562) 983-7211,(562) 983-7215
CH Powell Company,jfpeterson@chpowell.com,(310) 900-0300,(310) 900-0307
City National Bank,,(213) 673-8712,(213) 673-8712
Charles M Schayer & Company,langeles@schayer.com,(310) 641-3060,(310) 641-5134
CH Robinson International,oscar.palacios@chrobinson.com,(310) 515-7755,(310) 515-7755
Coppersmith,,(310) 607-8000,(310) 607-8000
CSL Customs Express,info@cslexp.com,(310) 436-1368,(310) 436-1370
CTSI Logistics,,3103200818,3103200818
Clearfreight,sophiako@clearfreight.com,(310) 726-0400 x1139,(310) 726-0420
Customs Confidential,,(310) 462-0629,(424) 266-9016
Customs Clearance International,,(310) 322-3228,(310) 322-3228
Custom Air Trucking,,(310) 241-6700,(310) 241-6700
DGX - Dependable Global Express,gloria.serrano@dgxglobal.com,(310) 669-8888x1134,(310) 669-8888x1134
Dimerco Customs Brokerage Services Company,,(310) 606-8911,(310) 606-8911
DK Express,kathyh@dkexpressinc.com,(310) 618-3700,(310) 618-3700
DLS Worldwide,dloza@dls-ww.com,(909) 256-4325,(909) 256-4325
Duncan & Son Lines,,5625055581,5625055581
