NGO_Name,category,BIR_expiry_date,PCNC_expiry_date,website
"A Child’s Trust is Ours to Nurture (ACTION), Inc.",Education-SupportsFormalSchools/Students,09/10/2020,09/10/2020, https://www.action.org.ph/
"AAI Charity Foundation, Inc.",Education-SupportsFormalSchools/Students,04/03/2021,11/12/2022,
"Aboitiz Foundation, Inc.",SocialWelfareandDevelopment,07/27/2023,12/12/2023, https://aboitizfoundation.org/
"ABS-CBN Lingkod Kapamilya Foundation, Inc.",SocialWelfareandDevelopment,07/09/2020,07/24/2024, https://corporate.abs-cbn.com/lingkodkapamilya/
"Academe Foundation, Inc.",Education-SupportsFormalSchools/Students,06/06/2020,06/06/2020,
"Adamson- Ozanam Educational Institutions, Inc.",Education-FormalSchool,06/06/2022,06/06/2022,
"Adarna Group Foundation, Inc.",SocialWelfareandDevelopment,03/22/2021,12/12/2023, www.agfi.com.ph
"AGAPP Foundation, Inc.",Education-SupportsFormalSchools/Students,07/14/2022,07/14/2022,
"Agustin and Anita Tanco Foundation, Inc.",Education-SupportsFormalSchools/Students,10/15/2020,10/15/2020,
"AIM Scientific Research Foundation, Inc.",Research,09/09/2021,09/09/2021, https://aim.edu/
"Alagang Kapatid Foundation, Inc.",SocialWelfareandDevelopment,11/27/2020,08/28/2024, http://www.alagangkapatid.com/
Alliance Graduate School (formerlyAlliance Biblical Seminary),Education-FormalSchool,03/02/2020,03/02/2020, https://www.ags.edu.ph/
"Alvarez Foundation-Philippines, Inc.",SocialWelfareandDevelopment,06/30/2022,05/09/2023,
"AMY Foundation, Inc.",SocialWelfareandDevelopment,08/07/2019,08/07/2019, https://amyfoundationph.com/
"Ang Misyon, Inc.",CultureandArts,08/30/2020,08/30/2020, https://angmisyon.org/
"Angelicum Charitable Foundation, Inc.",Education-SupportsFormalSchools/Students,08/06/2020,08/06/2020,
"Angelo King Foundation, Inc.",Education-SupportsFormalSchools/Students,08/10/2020,10/25/2022,
"Angels of God’s Agape Foundation (AGA Foundation), Inc.",Religious,08/29/2019,08/28/2020,
"Antipolo Seminary Foundation, Inc.",SocialWelfareandDevelopment,02/18/2020,02/18/2020, http://asf.org.ph/
"Asia Society Philippine Foundation, Inc.",CultureandArts,01/24/2024,06/26/2024, https://asiasociety.org/philippines
"Asian Institute of Maritime Studies, Inc.",Education-FormalSchool,02/15/2024,02/27/2024, https://aims.ph
"Asian Theological Seminary, Inc.",Religious,02/20/2022,02/20/2022, https://www.ats.ph/
"ASKI Foundation, Inc.",SocialWelfareandDevelopment,08/28/2021,11/12/2022, https://aski.com.ph/
"ASKI School of Knowledge, Incorporated",Education-FormalSchool,,11/12/2022, www.aski.com.ph
"Cameleon Association, Inc.",SocialWelfareandDevelopment,06/29/2020,08/28/2022, https://www.cameleon-association.org/?lang=en
"Cancer Care Registry Philippines Foundation, Inc.",Health–specialized,09/10/2020,09/10/2020, https://careph.org/
"CARD-MRI Development Institute, Inc.",Education–Non-Formal/ALS,08/04/2022,08/04/2022, https://cmdi.edu.ph/
"Care Channels, Inc.",CommunityBuilding/Development,10/08/2020,10/24/2021, https://carechannels.org/where-we-are/philippines/
"Caritas Manila, Inc.",SocialWelfareandDevelopment,11/11/2022,02/21/2023, http://www.caritasmanila.org.ph/
"Cartwheel Foundation, Inc.",SocialWelfareandDevelopment,12/31/2020,12/31/2020, http://cartwheelfoundation.org/
"Caucus of Development NGO Networks, Inc.",Others,10/26/2019,06/28/2022, https://code-ngo.org/
"Cavite Institute, Inc.",Education-FormalSchool,05/08/2022,05/08/2022, http://www.caviteinstitute.edu.ph/
"CBN Asia, Inc.",Religious,12/31/2020,12/10/2024, https://cbnasia.org/home/
"CCT Kaibigan Ministry, Inc",SocialWelfareandDevelopment,12/13/2020,08/22/2021, http://cctkaibigan.blogspot.com/
"CCT Training and Development Institute, Inc.",Education–Non-Formal/ALS,04/21/2017,04/21/2019, www.cct.org.ph
"Cebu City YLAC Free School Foundation, Inc.",Education-FormalSchool,04/05/2020,04/05/2020, https://ylacschoolcebucity.wordpress.com/about/
"Crocodylus Porosus Phils., Inc.",Environment/Biodiversity,11/15/2021,08/23/2022, philippinecrocodile.com.ph
"Culion Foundation, Inc.",Health–public/community,08/07/2019,12/10/2024, www.culionfoundation.org
"CURE Philippines, Inc.",Health–public/community,09/09/2021,09/09/2021, https://cure.org/philippines/
"Dalta Jonelta Foundation, Inc.",Health–public/community,04/14/2022,11/12/2022, www.djfi.org
"DANA Foundation, Inc.",Education-SupportsFormalSchools/Students,03/05/2022,05/01/2022, www.danafoundationph.com
"De La Salle Araneta University, Inc.",Education-FormalSchool,09/09/2021,09/09/2021, http://dlsau.edu.ph/
"De La Salle-College of Saint Benilde, Inc.",Education-FormalSchool,02/02/2023,02/02/2023, www.benilde.edu.ph
"De La Salle Lipa, Inc.",Education-FormalSchool,12/14/2021,12/14/2021, dsls.edu.ph
"De La Salle – Santiago Zobel School, Inc.",Education-FormalSchool,06/13/2023,06/13/2023, www.dlszobel.edu.ph
"De La Salle University, Incorporated",Education-FormalSchool,08/29/2023,08/29/2023, www.dlsu.edu.ph
"De La Salle University Science Foundation, Inc.",Education-SupportsFormalSchools/Students,01/09/2022,12/12/2023, https://www.dlsu.edu.ph/affiliates/sfi/
"De Los Santos Family Foundation, Inc. (form.Tomas & Betty De Los Santos Foundation)",Education-SupportsFormalSchools/Students,07/18/2021,07/18/2021,
"Cebu Puericulture Center & Maternity House, Inc.",Health–public/community,09/12/2014,N/A,
"Cebuana Lhuillier Foundation, Inc",Education-SupportsFormalSchools/Students,07/14/2020,07/14/2020,
"Center for Community Transformation, Inc.",SocialWelfareandDevelopment,08/07/2020,10/12/2022, http://www.cct.org.ph/
"Center for Excellence in Special Education (Stepping Stone) Foundation, Inc.",Education–Non-Formal/ALS,12/14/2021,12/14/2021, https://www.steppingstone.ph/
"Center for Research and Communication Foundation, Inc.",Research,12/15/2022,12/15/2022, https://www.uap.asia/
"Center for the Prevention and Treatment of Child Sexual Abuse (CPTCSA), Inc.",SocialWelfareandDevelopment,04/11/2022,11/12/2022, http://cptcsaph.org/
Cerecare Philippines Foundation Inc.,Education–Non-Formal/ALS,11/06/2021,02/21/2023, http://cerecare.org.ph/
"CFC Ancop Global Foundation, Inc. (formerly CFC ANCOP TEKTON Foundation, Inc.)",CommunityBuilding/Development,10/08/2020,05/09/2023, https://www.cfcancop.org/
"Chiang Kai Shek College, Inc.",Education-FormalSchool,09/26/2023,09/26/2023, https://www.cksc.edu.ph/
"Child Health In Life and Development Foundation (C.H.I.L.D), Inc.",Health–specialized,05/23/2020,06/28/2020, https://www.icapcharityday.com/
"Child Protection Network Foundation, Inc.",SocialWelfareandDevelopment,08/28/2020,08/28/2020, https://www.childprotectionnetwork.org/
"Children International (Manila) Inc. (Formerly Abot-Kamay, Inc.)",SocialWelfareandDevelopment,01/31/2017,01/31/2017, http://www.childreninternational.ph/
